Case Name (EN),Case Name (TH),Keywords,Instructions,facility_type,severity
Slip and Fall (General),ลื่นล้ม,"พื้นลื่น, หัวฟาดพื้น, ก้นกระแทก, เจ็บหลัง, ล้มหัวแตก","1. หากหมดสติหรือถามตอบไม่รู้เรื่อง ให้ประคองคอให้อยู่นิ่งที่สุด ห้ามเคลื่อนย้ายเองเพราะอาจมีกระดูกต้นคอหัก
2. สังเกตอาการ ""Alarm Signs"" ได้แก่ อาเจียนพุ่ง, ชัก, แขนขาอ่อนแรงข้างใดข้างหนึ่ง หรือมีน้ำใสๆ/เลือดออกจากหูหรือจมูก
3. หากมีแผลภายนอกให้ล้างน้ำสะอาดและกดห้ามเลือด หากมีอาการบวมโนให้ประคบเย็นทันที (ครั้งละ 15-20 นาที)
4. ห้ามให้ผู้ป่วยกินน้ำหรืออาหารทันที เผื่อกรณีต้องผ่าตัดฉุกเฉิน",Hospital,critical
Tooth Knocked Out,ฟันหลุด / ฟันหัก,"ฟันหลุด, ฟันกระเด็น, เลือดกลบปาก, ฟันโยก, เก็บฟันแช่นม","1. ให้จับเฉพาะส่วน ""ตัวฟัน"" (Crown) ที่เป็นสีขาว ห้ามสัมผัสบริเวณ ""รากฟัน"" เด็ดขาด เพราะมีเซลล์ที่ช่วยให้ฟันยึดติดใหม่ได้
2. หากฟันสกปรก ให้ล้างผ่านน้ำเย็นไหลผ่านเบาๆ ไม่เกิน 10 วินาที ห้ามขัดหรือถู
3. หากทำได้ ให้พยายามใส่กลับเข้าเบ้าฟันเดิมแล้วกัดผ้าก๊อซไว้เบาๆ หากไม่ได้ ให้แช่ใน นมจืดแช่เย็น (Cold Milk) หรือน้ำเกลือล้างแผล (Normal Saline) หรือแช่ในน้ำลายของผู้ป่วยเอง
4. ต้องถึงมือทันตแพทย์ภายใน 30-60 นาที เพื่อโอกาสในการปลูกถ่ายฟันกลับคืน",Clinic,mild
Tongue Bite,กัดลิ้น,"ลิ้นขาด, เลือดเต็มปาก, ชักกัดลิ้น, ล้มคางกระแทก, พูดไม่ได้","1. ใช้ผ้าสะอาดหรือผ้าก๊อซกดลงบนแผลโดยตรงให้แน่น หากแผลอยู่ลึกให้ใช้ปลายนิ้วกดผ่านผ้าไว้ประมาณ 5-10 นาทีโดยไม่ยกดู
2. อมน้ำแข็งหรือประคบเย็นที่กระพุ้งแก้มด้านนอกเพื่อลดอาการปวดและช่วยให้เส้นเลือดหดตัว
3. บ้วนปากด้วยน้ำสะอาดเบาๆ เพื่อล้างคราบเลือด
4. หากเลือดไม่หยุดไหลหลังกด 15 นาที หรือแผลมีความยาวเกิน 1 ซม. และขอบแผลแยกจากกันชัดเจน ต้องไปเย็บแผล","Hospital, Clinic",mild
Eyelid Laceration,แผลฉีกขาดที่เปลือกตา,"หางตาแตก, เลือดเข้าตา, หนังตาฉีก, โดนกระแทกตา","1. ห้ามกดห้ามเลือดลงบนลูกตาโดยตรง เพราะอาจทำให้แรงดันในลูกตาสูงขึ้นจนตาบอดได้
2. ใช้ฝาครอบตา (Eye Shield) หรือใช้ถ้วยกระดาษครอบไว้เบาๆ แล้วติดเทป เพื่อป้องกันไม่ให้ผู้ป่วยขยี้ตาหรือมีสิ่งสกปรกเข้าเพิ่ม
3. แนะนำให้หลับตาทั้งสองข้าง (แม้จะเจ็บข้างเดียว) เพื่อลดการขยับของลูกตาข้างที่บาดเจ็บ
4. หากเป็นแผลฉีกขาด ห้ามล้างด้วยน้ำประปาเพราะอาจนำเชื้อโรคเข้าสู่ภายในลูกตา",Hospital,critical
Ear Laceration,หูฉีก / แผลที่ใบหู,"หูขาด, เลือดออกหู, โดนดึงหู, แผลฉกรรจ์ที่หู","1. ใช้ผ้าสะอาดกดบริเวณใบหูที่ฉีกขาด เนื่องจากใบหูมีเส้นเลือดมาเลี้ยงมาก เลือดอาจออกเยอะกว่าที่คิด
2.  หากใบหูขาดถาวร ให้เก็บชิ้นส่วนใส่ถุงพลาสติกแห้งปิดสนิท แล้วนำไปแช่ในถังน้ำแข็ง (ห้ามให้เนื้อเยื่อสัมผัสน้ำแข็งหรือน้ำโดยตรงเพราะจะเสียสภาพ)
3. ล้างแผลรอบๆ ด้วยน้ำสะอาด แต่อย่าให้น้ำเข้าหูชั้นใน",Hospital,critical
Scalp Avulsion,หนังศีรษะเปิด,"หนังหัวเปิด, เห็นกะโหลก, ผมหลุด, แผลใหญ่บนหัว, เลือดท่วมหัว","1. เส้นเลือดที่หนังศีรษะมีแรงดันสูง ต้องใช้ผ้าก๊อซหลายชั้นกดลงบนจุดที่เลือดออกโดยตรงและคงแรงกดไว้อย่างน้อย 10-15 นาที
2. ล้างดินหรือสิ่งสกปรกออกจากบริเวณใกล้เคียงเพื่อลดโอกาสติดเชื้อเข้าสู่กะโหลกศีรษะ
3. หากหนังศีรษะยังไม่ขาดออกจากกัน ให้พยายามพับกลับเข้าที่เดิมเบาๆ แล้วพันผ้าพันแผลทับไว้
4.  เนื่องจากเสียเลือดมาก ให้ผู้ป่วยนอนราบ ยกขาสูง และห่มผ้าให้ความอบอุ่น",Hospital,critical
Nail Avulsion,เล็บหลุด / เล็บฉีก,"เล็บเปิด, ประตูหนีบมือ, เล็บม่วง, ปวดปลายนิ้ว, เลือดออกซอกเล็บ","1. หากเล็บยังติดอยู่บางส่วน ห้ามกระชากเล็บออกเอง ให้พยายามทำความสะอาดและวางเล็บกลับในตำแหน่งเดิมเพื่อเป็นที่กำบังเนื้อเยื่อข้างล่าง
2. ล้างด้วยน้ำเกลือ (Normal Saline) เพื่อลดการติดเชื้อ
3. ใช้ผ้าก๊อซชุบน้ำเกลือหมาดๆ แปะทับ แล้วพันทับด้วยผ้าแห้ง เพื่อไม่ให้เล็บไปเกี่ยวสิ่งของเพิ่ม
4. ประคบเย็นและยกนิ้วให้สูงกว่าระดับหัวใจเพื่อลดอาการปวดตุบๆ",Clinic,mild
Finger Crushed,นิ้วบด / ประตูหนีบ,"นิ้วแบน, ประตูหนีบ, เครื่องจักรทับนิ้ว, ม่วงช้ำ","1. รีบถอดแหวนหรือเครื่องประดับออกจากนิ้วทันที ก่อนที่นิ้วจะบวมจนตัดไม่ออก
2. ประคบเย็นทันทีครั้งละ 15 นาที เพื่อลดเลือดคั่งใต้เล็บและลดอาการบวม
3. เช็กว่าปลายนิ้วยังมีสีชมพูอยู่หรือไม่ และยังขยับข้อได้หรือไม่ หากปลายนิ้วเขียวคล้ำหรือชา อาจมีการทำลายเส้นประสาทและหลอดเลือด
4. หากรูปทรงนิ้วผิดปกติ ห้ามพยายามดัดคืน ให้หาไม้ไอศกรีมหรือนิ้วข้างๆ มาดามไว้เบาๆ",Clinic,mild
Genital Injury,บาดเจ็บอวัยวะเพศ,"โดนเตะผ่าหมาก, เลือดออกจู๋, ซิปหนีบ, กระแทกหว่างขา, ปวดจุก","1. ใช้เจลเย็นหรือน้ำแข็งห่อผ้าขนหนูประคบเพื่อลดบวมและบรรเทาปวด
2.  หากมีแผลฉีกขาดภายนอก ให้ใช้ผ้าสะอาดกดไว้เบาๆ
4. หากพบเลือดปนออกมากับปัสสาวะ หรือปัสสาวะไม่ออกเลย แสดงว่าท่อปัสสาวะบาดเจ็บ
5. หากถุงอัณฑะบวมโตอย่างรวดเร็ว (Hematoma) ต้องรีบไปโรงพยาบาลเพื่อตรวจเช็กการฉีกขาดของเนื้อเยื่อภายใน",Clinic,mild
Soft Tissue Bruise,ฟกช้ำรุนแรง,"เขียวช้ำ, บวมปูด, ห่อเลือด, โดนตี, กระแทกแรง","1. กฎ 48 ชั่วโมงแรกประคบเย็นเท่านั้น ห้ามประคบร้อน ห้ามนวด ห้ามทายาหม่องที่ออกฤทธิ์ร้อน เพราะจะทำให้เส้นเลือดขยายตัวและบวมมากขึ้น
2.  ยกส่วนที่ฟกช้ำให้สูงกว่าระดับหัวใจเพื่อลดแรงดันเลือด
3. ใช้ผ้ายืด (Elastic Bandage) พันรอบบริเวณที่บวมเพื่อลดการคั่งของเลือดภายในเนื้อเยื่อ
4. หากความบวมลดลงแล้ว จึงเริ่มประคบอุ่นเพื่อช่วยสลายลิ่มเลือด","Hospital, Clinic",mild
Rove Beetle Burn,แมลงก้นกระดก,"แสบผิว, รอยไหม้, ผื่นแดงยาว, ตุ่มน้ำพอง, โดนแมลง, ปวดแสบ","1. หากรู้ตัวว่าสัมผัสกับแมลงก้น ควรล้างบริเวณนั้น ๆ ด้วยน้ำสะอาดและสบู่ทันที หรือใช้น้ำเกลือสำหรับล้างแผลล้าง เพื่อชะล้างพิษออกและป้องกันการระคายเคือง
2. หลีกเลี่ยงการเกาบริเวณที่มีผื่น แผลพุพอง หรือตุ่มน้ำ เพราะอาจทำให้พิษกระจายและเสี่ยงต่อการติดเชื้อ
3. หากเกิดตุ่มน้ำและรอยแดง ทาครีมหรือยาสเตียรอยด์เพื่อบรรเทาอาการอักเสบและคัน ยาที่นิยมใช้ได้แก่ ไฮโดรคอร์ติโซน (Hydrocortisone) หรือครีมที่มีส่วนผสมของสารแก้แพ้
4. รับประทานยาต้านฮีสตามีน (Antihistamines) หากมีอาการคันรุนแรง
5. หากอาการไม่ดีขึ้นภายใน 1-2 วัน หรือแผลลุกลาม อักเสบมาก ควรพบแพทย์เพื่อรับการรักษา",Clinic,mild
Fire Ant Bite,มดคันไฟกัด,"มดกัด, บวมแดง, คันมาก, ตุ่มหนอง, แพ้มด",การปฐมพยาบาลเบื้องต้นสำหรับแผลถูกมดไฟกัด ได้แก่ ยาแก้คันหรือปวดที่หาซื้อได้ทั่วไป และการประคบเย็น หากผู้ถูกกัดมีอาการแพ้ เช่น ปวดหัว คลื่นไส้ เวียนศีรษะ หรือหายใจลำบาก ควรไปพบแพทย์ทันที\,Clinic,mild
Leech Attachment,ปลิงเกาะ,"ปลิงดูดเลือด, ทากเกาะ, เลือดไหลไม่หยุด, ดึงออกยังไง",เมื่อถูกทากหรือปลิงกัด ห้ามดึงออกเพราะจะทำให้เนื้อฉีกขาดเป็นแผลใหญ่ และเลือดหยุดยากขึ้น ควรใช้น้ำเกลือ น้ำส้มอย่างแรง หรือแอลกอฮอล์ หยอดรอบๆ ปากของมัน อาจใช้ไม้ขีดหรือบุหรี่จุดไฟจี้ที่ตัว จะทำให้หลุดได้ ในกรณีที่เลือด ยังไม่หยุดไหล ให้ห้ามเลือดโดยใช้ astringent และใช้ยาฆ่าเชื้อทำความสะอาดแผล ในกรณีที่มีผื่นคันให้ใช้ calamine lotion หรือ topical steroid cream ทาได้ ควรรักษาการติดเชื้อแบคทีเรียแทรกซ้อนร่วมไปด้วย,Clinic,mild
Buffalo/Cow Gore,วัว/ควายขวิด,"โดนขวิด, เขาแทง, ไส้ไหล, กระแทกหน้าอก, สัตว์ทำร้าย","1. นำผู้ป่วยออกจากพื้นที่เกิดเหตุเพื่อป้องกันการถูกทำร้ายซ้ำ
2. บาดแผลจากเขามักจะลึกและไม่เรียบ หากมีเลือดออกมากให้ใช้ผ้าสะอาดกดห้ามเลือดทันที
3. กรณีมีวัตถุปักคา ห้ามดึงวัตถุออกเด็ดขาด ให้หาผ้าสะอาดพันรอบๆ วัตถุเพื่อประคองไม่ให้เคลื่อนไหว
4. แม้ไม่มีแผลภายนอกที่ชัดเจน แต่อาจมีการฉีกขาดของอวัยวะภายในหรือกระดูกหัก ให้ผู้ป่วยนอนนิ่งๆ และงดน้ำ/อาหาร",Hospital,critical
Rat Bite,หนูกัด,"โดนหนูกัด, แผลเชื้อโรค, เลือดออก, ฉีดยา, สกปรก","1. ล้างแผลทันที ฟอกด้วยสบู่และล้างน้ำสะอาดไหลผ่านนานอย่างน้อย 15 นาที เพื่อลดปริมาณเชื้อโรค (เสี่ยงต่อโรคฉี่หนู, กาฬโรค, หรือโรคไข้หนูกัด)
2. เช็ดแผลด้วยแอลกอฮอล์หรือเบตาดีน
3. หากเลือดออกให้ใช้ผ้าสะอาดกดไว้
4. จำเป็นต้องรับวัคซีนป้องกันบาดทะยัก และอาจต้องพิจารณาวัคซีนพิษสุนัขบ้าตามดุลยพินิจของแพทย์",Clinic,mild
Button Battery Swallowed,กลืนถ่านกระดุม,"กินถ่าน, เด็กกลืนถ่านนาฬิกา, อันตราย, เจ็บคอ","1. ห้ามทำให้ผู้ป่วยอาเจียน 
2. หากเด็กกลืนแบตเตอรี่เข้าไปภายใน 12 ชั่วโมงก่อนหน้านี้ โดยเฉพาะอย่างยิ่งหากเป็นแบตเตอรี่ลิเธียมแบบเหรียญ และเด็กสามารถกลืนได้ ให้เด็กกินน้ำผึ้ง 2 ช้อนชาทุก 10 นาทีขณะเดินทางไปห้องฉุกเฉิน ห้ามรอจนถึงเวลาให้เด็กกินน้ำผึ้งแล้วค่อยไปห้องฉุกเฉิน นอกจากน้ำผึ้งแล้ว ห้ามกินหรือดื่มอะไรจนกว่าผลการเอกซเรย์จะแสดงว่าแบตเตอรี่พ้นจากหลอดอาหารแล้ว
3. แบตเตอรี่ที่ติดอยู่ในหลอดอาหารจะต้องถูกนำออกโดยเร็วที่สุด เนื่องจากอาจเกิดความเสียหายร้ายแรงได้ภายในเวลาเพียง 2 ชั่วโมง
สังเกตอาการไข้ ปวดท้อง อาเจียน หรือมีเลือดปนในอุจจาระ หากมีอาการเหล่านี้ให้รายงานทันที
4. หากไม่จำเป็นต้องถอดออก ให้ตรวจสอบอุจจาระจนกว่าแบตเตอรี่จะหมด",Clinic,mild
Coin Swallowed,กลืนเหรียญ,"กินเหรียญ, เหรียญติดคอ, เด็กกลืนเงิน, หายใจออกแต่เจ็บ","1. งดน้ำ งดอาหารไว้ก่อน
2. ไม่ควรล้วงคอ หรือทำให้อาเจียน เนื่องจากอาจทำให้เกิดการบาดเจ็บเพิ่มขึ้น หรือสิ่งแปลกปลอมอาจหลุดมาอุดทางเดินหายใจทำให้เสียชีวิตได้
3. รีบไปพบแพทย์ เพื่อทำการตรวจประเมิน และนำตัวอย่าง หรือรูปสิ่งของที่เด็กกลืน ไปให้แพทย์ดูด้วย",Clinic,mild
High Fever (Child),ไข้สูง (เด็ก),"ตัวร้อนจัด, ลูกตัวร้อนจี๋, เช็ดตัว, ชักเพราะไข้, ซึม","1. เตรียมน้ำอุ่นและพื้นที่สำหรับเช็ดตัวให้พร้อม
2. ถอดเสื้อผ้าออก
3. ใช้ผ้าผืนเล็กชุบน้ำ บิดให้หมาด เช็ดบริเวณหน้า
4. เช็ดแขนและขาทั้ง 2 ข้าง (เช็ดจากปลายมือ ปลายเท้าสู่ลำตัวโดยเช็ดย้อนรูขุมขนเพื่อระบายความร้อน)
5. เช็ดหน้าผากและศีรษะ (พักผ้าไว้บริเวณศีรษะ ซอกคอ ซอกรักแร้ ขาหนีบ เพื่อระบายความร้อน)
6. เช็ดลำตัวด้านหน้า พลิกตัวคนไข้นอนตะแคงและเช็ดตัวด้านหลัง
หลังเช็ดตัวเสร็จ ควรซับตัวให้แห้ง สวมใส่เสื้อผ้าเบาสบาย แล้วให้พักผ่อนในห้องที่มีอากาศถ่ายเทสะดวก ไม่ร้อนจัดหรือเย็นจัด",Clinic,mild
Febrile Seizure,ไข้สูงชัก,"เด็กชัก, ตาเหลือก, ตัวร้อนแล้วชัก, เกร็งกระตุก, กัดลิ้น","1. จับให้นอนตะแคง ไม่หนุนหมอน หันศีรษะไปด้านใดด้านหนึ่งเพื่อป้องกันการสำลัก
2. คลายเสื้อผ้าให้หลวม
3. ห้ามใช้ช้อนหรือวัตถุอื่นๆ หรือนิ้วมืองัดปาก และห้ามป้อนยาหรือน้ำทางปากในขณะที่เด็กไม่รู้สึกตัว
4. เช็ดตัวด้วยน้ำจากก๊อกประปาหรือน้ำอุ่น ไม่ควรเช็ดตัวด้วยน้ำเย็นหรือแอลกอฮอล์
5. นำเด็กส่งโรงพยาบาลหรือรีบไปพบแพทย์ เพื่อให้แน่ใจว่าสาเหตุของการชักเกิดจากไข้สูง หรือจากสาเหตุอื่นๆ เช่น การติดเชื้อในสมอง ซึ่งต้องรักษาที่ต้นเหตุด้วย",Hospital,critical
Dehydration (Severe),ขาดน้ำรุนแรง,"ปากแห้ง, ตาลึก, ไม่มีแรง, ท้องเสียหนัก, อ้วกเยอะ, ไม่ฉี่","1. ให้ดื่มน้ำเปล่าหรือสารละลายเกลือแร่สำหรับดื่มทดแทนน้ำในร่างกาย
2. ตรวจสอบให้แน่ใจว่าบุคคลนั้นอยู่ในที่เย็นและร่มรื่น
3. คลายเสื้อผ้าที่รัดแน่นออกเพื่อให้หายใจได้สะดวกขึ้น",Clinic,mild
,ปวดท้องรุนแรง,"ปวดเอวรุนแรง, ปวดร้าวลงขาหนีบ, ฉี่เป็นเลือด, ปวดดิ้น","1. ใช้กระเป๋าน้ำร้อนประคบหน้าท้อง เพื่อช่วยผ่อนคลายกล้ามเนื้อที่หดเกร็ง
2. นอนพักในท่าที่สบายที่สุด เช่น นอนตะแคงคู้เข่า หรือนอนหงายชันเข่าขึ้น เพื่อลดแรงดันในช่องท้อง
3. หากมีอาการท้องเสียหรืออาเจียนร่วมด้วย ให้จิบน้ำเกลือแร่ (ORS) เพื่อป้องกันภาวะขาดน้ำ
4. หลีกเลี่ยง ชา กาแฟ น้ำอัดลม และอาหารที่มีไขมันสูง
5. ยาลดกรดหรือยาขับลมอาจช่วยได้ในกรณีปวดแน่นท้องไม่รุนแรง",Clinic,mild
Vertigo,บ้านหมุน,"เวียนหัว, เดินเซ, โลกหมุน, อ้วก, ทรงตัวไม่ได้, หูอื้อ","1. ให้ผู้ป่วยนอนบนพื้นราบ ระวังล้ม และพยายามให้ผู้ป่วยมองจุดใดจุดหนึ่งนิ่ง ๆ ไว้
2. หากมีอาการร่วม เช่น พูดไม่ชัด กลืนลำบาก เสียงแหบ แขนหรือขาอ่อนแรง ชา ต้องรีบนำตัวส่งโรงพยาบาลทันที
3. ถ้าผู้ป่วยเคยมีประวัติโรคที่เกี่ยวข้องกับหูชั้นใน เช่น โรคน้ำในหูไม่เท่ากัน หรือโรคหินปูนในหูชั้นในเคลื่อน เป็นต้น แนะนำให้รับประทานยาประจำตัวก่อน หากอาการยังไม่ดีขึ้นให้รีบมาพบแพทย์",Clinic,mild
Pesticide Poisoning,ได้รับสารกำจัดศัตรูพืช,"ยาฆ่าแมลง, เหม็นยา, น้ำลายฟูมปาก, กล้ามเนื้อกระตุก, ชาวนา","1. ทางผิวหนัง: ถอดเสื้อผ้าที่ปนเปื้อนออก ล้างผิวหนังด้วยสบู่และน้ำสะอาดปริมาณมาก ห้ามขัดผิวแรงๆ
2. ทางการหายใจ: ย้ายผู้ป่วยไปที่อากาศถ่ายเทสะดวก
3. ทางปาก: ห้ามทำให้ย้อนกลับ (อาเจียน) เว้นแต่มีคำสั่งจากแพทย์หรือศูนย์พิษวิทยา ห้ามให้ดื่มนมหรือน้ำมัน
4. นำฉลากหรือภาชนะบรรจุสารนั้นไปโรงพยาบาลด้วยเพื่อการรักษาที่ตรงจุด",Hospital,critical
Bleach Ingestion,กินน้ำยาซักผ้าขาว,"กินไฮเตอร์, แสบปาก, แสบคอ, กลิ่นคลอรีน, ห้ามทำให้อ้วก","1. ห้ามทำให้อาเจียน สารซักขาวมีฤทธิ์กัดกร่อน การอาเจียนจะทำให้สารกัดเนื้อเยื่อทางเดินอาหารซ้ำเป็นรอบที่สอง
2. ล้างปากด้วยน้ำสะอาดหลายๆ ครั้ง
3. หากผู้ป่วยยังรู้สึกตัวดี ให้ดื่มน้ำหรือนมปริมาณเล็กน้อยเพื่อเจือจางสาร (ห้ามดื่มมากเกินไปจนอาเจียน)
4. นำตัวส่งโรงพยาบาลทันทีพร้อมขวดน้ำยา",Hospital,critical
Glue Ingestion/Eye,กาวเข้าตา/ปาก,"กาวตราช้าง, ตาติด, ปากติด, แสบตา, ลืมตาไม่ได้","1. กรณีเข้าตา: ล้างตาด้วยน้ำสะอาดหรือน้ำเกลือไหลผ่านอย่างน้อย 15 นาที ห้ามพยายามแกะกาวออกเอง ห้ามขยี้ตา ปิดตาด้วยผ้าก๊อซเบาๆ แล้วไปพบจักษุแพทย์
2. กรณีเข้าปาก: หากกาวแห้งแล้วให้ใช้น้ำอุ่นบ้วนปากเพื่อให้กาวค่อยๆ หลุดออกเอง ห้ามดึงกาวที่ติดกับกระพุ้งแก้มหรือลิ้นแรงๆ เพราะเนื้อเยื่อจะฉีกขาด",Hospital,mild
Battery Acid Burn,กรดแบตเตอรี่โดนผิว,"น้ำกรด, แสบผิว, คัน, แดง, ล้างน้ำ","1. เปิดน้ำสะอาดให้ไหลผ่านบริเวณที่ถูกกรดนานอย่างน้อย 20 นาที เพื่อเจือจางสารเคมี
2.  ตัดเสื้อผ้าหรือถอดเครื่องประดับที่ปนเปื้อนออกขณะล้างน้ำ
3. ห้ามนำปูนใสหรือด่างใดๆ มาทา เพราะจะเกิดปฏิกิริยาความร้อนทำให้แผลไหม้หนักกว่าเดิม
4. ใช้ผ้าสะอาดหรือพลาสติกแรป (Wrap) ปิดแผลหลวมๆ ก่อนส่งโรงพยาบาล",Hospital,critical
Alcohol Poisoning,แอลกอฮอล์เป็นพิษ,"เมาหมดสติ, อ้วกไม่หยุด, หายใจช้า, ปลุกไม่ตื่น, กินเหล้าเยอะ","1. หากหมดสติให้จับนอนตะแคงข้าง (Recovery Position) เพื่อป้องกันการสำลักอาเจียนอุดทางเดินหายใจ
2. หากหายใจช้าลง (ต่ำกว่า 8 ครั้ง/นาที) หรือหยุดหายใจ ให้เริ่ม CPR
3. ห่มผ้าให้ผู้ป่วยเพราะแอลกอฮอล์ทำให้ร่างกายเสียความร้อนเร็ว
4. เพราะอาจทำให้เกิดภาวะช็อกหรืออุณหภูมิกายต่ำเกินไป",Hospital,critical
Pepper Spray,โดนสเปรย์พริกไทย,"แสบตา, ลืมตาไม่ขึ้น, หายใจไม่ออก, แสบหน้า, โดนฉีดใส่","1. ใช้น้ำยาล้างตาโดยใช้น้ำยาลดกรดและน้ำในอัตรา 1:1 โดยใช้เฉพาะยาลดกรดที่ใช้อะลูมิเนียมไฮดรอกไซด์หรือแมกนีเซียมไฮดรอกไซด์ เช่น น้ำยา Maalox
2. ขวดที่มีฝาฉีดเหมาะสำหรับล้างตา เริ่มล้างจากมุมด้านในของดวงตาไปทางด้านนอกเสมอ โดยเอียงศีรษะไปด้านหลังและเอียงไปทางด้านข้างเล็กน้อย เพื่อให้น้ำยาไหลเข้าตาได้ การเปิดตาอาจทำให้ความเจ็บปวดเพิ่มขึ้นชั่วคราว ดังนั้นคุณอาจต้องช่วยเปิดตาของผู้อื่นด้วย
3. วิธีนี้ใช้ได้ผลดีในการล้างปากเช่นกัน หากผู้ได้รับสารยังตื่นตัวและสามารถหายใจเองได้
4. เมื่อทำการปฐมพยาบาลเบื้องต้นแล้ว ควรเริ่มกางแขนออกแล้วเดินไปรอบๆ แล้วถอดเสื้อผ้าที่เปื้อนออก 
5. สารพิษอาจปนเปื้อนสิ่งรอบตัว ในระหว่างนี้พยายามอย่าสัมผัสดวงตา ใบหน้า สิ่งของ หรือผู้อื่น เพื่อหลีกเลี่ยงการปนเปื้อนเพิ่มเติม 
6. อาบน้ำโดยใช้น้ำเย็นที่สุดเพื่อไม่ให้รูขุมขนเปิด ซักเสื้อผ้าโดยใช้ผงซักฟอกเข้มข้น",Clinic,mild
Tear Gas,โดนแก๊สน้ำตา,"ควันขาว, แสบตา, แสบจมูก, ไอ, หายใจลำบาก, ม็อบ","1. ใช้น้ำยาล้างตาโดยใช้น้ำยาลดกรดและน้ำในอัตรา 1:1 โดยใช้เฉพาะยาลดกรดที่ใช้อะลูมิเนียมไฮดรอกไซด์หรือแมกนีเซียมไฮดรอกไซด์ เช่น น้ำยา Maalox
2. ขวดที่มีฝาฉีดเหมาะสำหรับล้างตา เริ่มล้างจากมุมด้านในของดวงตาไปทางด้านนอกเสมอ โดยเอียงศีรษะไปด้านหลังและเอียงไปทางด้านข้างเล็กน้อย เพื่อให้น้ำยาไหลเข้าตาได้ การเปิดตาอาจทำให้ความเจ็บปวดเพิ่มขึ้นชั่วคราว ดังนั้นคุณอาจต้องช่วยเปิดตาของผู้อื่นด้วย
3. วิธีนี้ใช้ได้ผลดีในการล้างปากเช่นกัน หากผู้ได้รับสารยังตื่นตัวและสามารถหายใจเองได้
4. เมื่อทำการปฐมพยาบาลเบื้องต้นแล้ว ควรเริ่มกางแขนออกแล้วเดินไปรอบๆ แล้วถอดเสื้อผ้าที่เปื้อนออก 
5. สารพิษอาจปนเปื้อนสิ่งรอบตัว ในระหว่างนี้พยายามอย่าสัมผัสดวงตา ใบหน้า สิ่งของ หรือผู้อื่น เพื่อหลีกเลี่ยงการปนเปื้อนเพิ่มเติม 
6. อาบน้ำโดยใช้น้ำเย็นที่สุดเพื่อไม่ให้รูขุมขนเปิด ซักเสื้อผ้าโดยใช้ผงซักฟอกเข้มข้น",Clinic,mild
Physical Assault (Blunt),ถูกทำร้ายร่างกาย (ไม่มีแผลเปิด),"โดนรุม, โดนเตะ, ช้ำใน, ปวดตัว, โดนซ้อม","1. ประคบเย็น บริเวณที่บวมช้ำเพื่อลดปวดและหดเส้นเลือดใน 48 ชม. แรก
2. หากโดนที่หัว ให้สังเกตอาการซึม อาเจียน หรือพูดไม่ชัด
3. ประเมินความเจ็บปวด หากปวดท้องรุนแรงหรือท้องแข็งตึง อาจมีการตกเลือดภายใน
4. ย้ายผู้ป่วยไปยังที่ปลอดภัยและติดต่อเจ้าหน้าที่",Hospital,mild
Panic Attack,แพนิค / ตื่นตระหนก,"หายใจไม่ออก, มือจีบ, ใจสั่น, กลัวตาย, ควบคุมตัวเองไม่ได้","1. ให้ผู้ป่วยหายใจเข้า-ออกช้าๆ (นับ 1-4 เข้า, นับ 1-4 ออก) เพื่อปรับสมดุลก๊าซในเลือด
2. ให้ผู้ป่วยบอกสิ่งที่มองเห็น 5 อย่าง, สิ่งที่สัมผัสได้ 4 อย่าง เพื่อดึงสติกลับมาอยู่กับปัจจุบัน
3. บอกผู้ป่วยสั้นๆ ว่า ""นี่คืออาการแพนิค มันจะผ่านไป คุณปลอดภัย""
4. พาไปยังที่สงบและอากาศถ่ายเท",none,mild
Severe Menstrual Cramp,ปวดประจำเดือนรุนแรง,"ปวดท้องเมนส์, หน้าซีด, จะเป็นลม, ปวดบิด, ทนไม่ไหว","1. วางถุงน้ำร้อนบริเวณท้องน้อยเพื่อช่วยให้กล้ามเนื้อมดลูกผ่อนคลาย
2. นอนตะแคงงอเข่าขึ้นมาทางอก (Fetal Position) ช่วยลดแรงตึงที่หน้าท้อง
3. รับประทานยาในกลุ่ม NSAIDs (เช่น Ibuprofen, Mefenamic Acid) ตามปริมาณที่กำหนด
4. หากปวดจนเป็นลม หรือปวดเฉียบพลันเหมือนมีอะไรแตกข้างใน ต้องไปพบแพทย์ทันที",Clinic,mild
Morning Sickness (Severe),แพ้ท้องรุนแรง,"อ้วกไม่หยุด, กินไม่ได้, หมดแรง, หน้ามืด, ตั้งครรภ์","1. จิบน้ำหรือน้ำผสมเกลือแร่ (ORS) ทีละนิดแต่บ่อยๆ
2. ทานอาหารอ่อน ย่อยง่าย และแบ่งเป็นมื้อเล็กๆ หลายๆ มื้อ
3. หลีกเลี่ยงกลิ่นน้ำหอม กลิ่นอาหาร หรือสิ่งที่ทำให้คลื่นไส้
4. หากปัสสาวะมีสีเข้มมาก ปากแห้ง หรือหน้ามืดเวลาลุกขึ้น ต้องรีบไปให้พยาบาลให้น้ำเกลือ","Hospital, Clinic",mild
